Feature,SHAP_Importance
F3912,3.9922512
F3898,0.41807422
F162,0.39571995
F1597,0.3631846
F3811,0.27889782
F3484,0.27104405
F3805,0.26272586
F1165,0.22114243
F3800,0.19127175
F2686,0.17796369
F2489,0.1656663
F2486,0.136473
F3748,0.13097791
F1814,0.08549795
F949,0.08199157
F1819,0.045232892
F3801,0.03781611
F1495,0.03707819
F270,0.03694504
F1387,0.033731572
F1489,0.01979447
F1057,0.018016133
F159,0.017909937
F1381,0.015957298
F1821,0.012477123
F1815,0.012260131
F1707,0.010639259
F1603,0.010518139
F3640,0.008740193
F3532,0.007911715
F1717,0.0013798197
F1713,0.0
F1827,0.0
F1719,0.0
F267,0.0
F1609,0.0
F1755,0.0
F1863,0.0
F1501,0.0
F1393,0.0
F1861,0.0
F1825,0.0
