,F3924
F3912,0.9690659702864175
F267,0.11334862119454803
F159,0.0978717533111209
F2686,0.09732255845614969
F3908,0.09702248970243511
F270,0.09602172557914582
F265,0.09071341224517414
F2578,0.08947500223053324
F3229,0.085908764088009
F3231,0.085908764088009
F157,0.08497714749015173
F886,0.0849148590153255
F2285,0.08465725590940333
F2779,0.08249053345084016
F268,0.08170391136441232
F162,0.07915607114400124
F3339,0.07742964522744544
F3337,0.07742964522744544
F2184,0.07577527774673518
F2074,0.07510062098418774
F2076,0.07500167621205003
F2182,0.07484329614086395
F160,0.07317882119017005
F1968,0.07267442397762244
F1966,0.07235682793731386
F158,0.07087676400745274
F266,0.06961348231778065
F61,0.06794313033254448
F3226,0.06710542601373028
F3228,0.06710542601373028
F996,0.0664144944324214
F1104,0.06527321638051994
F3640,0.06476353983856864
F2481,0.0645965201288023
F1212,0.0644469347004275
F3504,0.06373242025024299
F3502,0.06373242025024299
F3447,0.06362203683456896
F3445,0.06362203683456896
F3748,0.06338293827882986
F1428,0.063242058199616
F3913,0.06323481111702563
F1320,0.06311434351300962
F3532,0.06300801530969466
F844,0.06270831281957931
F850,0.06270831281957931
F224,0.06231553902897799
F230,0.06231553902897799
F1536,0.06212784711599949
F116,0.06183695268500582
