Feature,Importance
F1381,0.36394718
F270,0.18200924
F3912,0.1808914
F1819,0.14674729
F3805,0.019588994
F2489,0.009764475
F1603,0.0091882795
F1707,0.008987104
F1815,0.008357215
F1821,0.008137616
F3811,0.0063176085
F1814,0.00621576
F1489,0.005823649
F3801,0.005395711
F1165,0.0047169025
F1597,0.004437079
F162,0.0042518186
F159,0.0030178537
F3800,0.002937818
F1057,0.002726549
F2686,0.0027204473
F949,0.002643603
F3484,0.002358686
F3748,0.0023365354
F2486,0.0018582795
F1495,0.0015208384
F3898,0.0015141843
F3640,0.0005430747
F3532,0.0004682946
F1387,0.00030124452
F1717,0.00027517544
F1393,0.0
F1501,0.0
F1609,0.0
F1827,0.0
F1861,0.0
F1719,0.0
F1713,0.0
F1825,0.0
F267,0.0
F1863,0.0
F1755,0.0
